,Scenario_1,Scenario_2,Scenario_3,Scenario_4
0,1.0,0.629631,0.763843,0.78983
1,1.0,0.626637,0.74862,0.778618
2,1.0,0.639239,0.708403,0.72922
3,1.0,0.617934,0.631728,0.715046
4,1.0,0.638056,0.594424,0.72922
5,1.0,0.606584,0.629473,0.70595
6,1.0,0.604635,0.584463,0.684371
7,1.0,0.592033,0.404802,0.636455
8,0.974331,0.600736,0.385727,0.6263
9,0.976642,0.582215,0.233128,0.629156
10,0.974331,0.551023,0.147713,0.599645
11,0.912039,0.530553,0.106744,0.512697
12,0.775569,0.481675,0.063708,0.444894
13,0.595736,0.475826,0.034203,0.392112
14,0.395763,0.481675,0.026686,0.341445
15,0.442317,0.522754,0.043976,0.31352
16,0.48689,0.530622,0.074138,0.351282
17,0.637888,0.491492,0.223261,0.515764
18,0.804073,0.507158,0.500458,0.696536
19,0.887276,0.570031,0.593202,0.828438
20,0.980714,0.611876,0.569241,0.859008
21,1.0,0.629561,0.511264,0.848219
22,1.0,0.638056,0.526017,0.850122
23,1.0,0.634853,0.576852,0.864191
24,1.0,0.632485,0.682375,0.868528
25,1.0,0.639239,0.655689,0.848324
26,1.0,0.633321,0.507224,0.864296
27,1.0,0.65957,0.403392,0.880586
28,1.0,0.642512,0.353685,0.879846
29,1.0,0.648639,0.362893,0.875826
30,1.0,0.633112,0.370974,0.888413
31,0.91545,0.641398,0.439005,0.864191
32,0.857781,0.65219,0.365618,0.913906
33,0.850517,0.635131,0.267801,0.948494
34,0.840942,0.624966,0.183796,0.944792
35,0.728905,0.624966,0.106744,0.91253
36,0.403357,0.592033,0.063145,0.883125
37,0.258963,0.572816,0.043506,0.841766
38,0.220003,0.516975,0.047734,0.785388
39,0.209658,0.502563,0.061923,0.712402
40,0.227047,0.477428,0.087106,0.711133
41,0.322026,0.474086,0.152036,0.711133
42,0.445399,0.545313,0.356316,0.790888
43,0.567121,0.574347,0.421152,0.840814
44,0.752016,0.60547,0.459584,0.878999
45,0.876821,0.633948,0.504593,0.913165
46,0.982915,0.636593,0.567925,0.950927
47,1.0,0.621902,0.565388,0.969332
48,1.0,0.609161,0.590665,0.968909
49,1.0,0.593912,0.618761,0.957379
50,1.0,0.596698,0.61519,0.966265
51,1.0,0.579152,0.51803,0.980121
52,1.0,0.54406,0.44859,0.988689
53,1.0,0.525609,0.470484,0.997997
54,1.0,0.515513,0.660105,1.0
55,0.995241,0.55896,0.565388,1.0
56,0.903564,0.522754,0.513989,1.0
57,0.812438,0.541345,0.460899,1.0
58,0.727584,0.520596,0.408842,0.990805
59,0.568662,0.469838,0.443046,0.962139
60,0.372982,0.431196,0.335174,0.925435
61,0.243995,0.454033,0.400667,0.89
62,0.207457,0.442266,0.387136,0.842718
63,0.239043,0.461971,0.370974,0.81839
64,0.299904,0.420821,0.332637,0.800619
65,0.417334,0.40063,0.433461,0.764655
66,0.496465,0.464616,0.564073,0.78306
67,0.536636,0.545313,0.707464,0.820399
68,0.779421,0.571702,0.756795,0.871701
69,0.862953,0.566549,0.783012,0.919829
70,0.889257,0.568847,0.853486,0.954524
71,0.900923,0.55896,0.869272,0.982871
72,0.967177,0.524286,0.875379,0.983929
73,1.0,0.524286,0.845217,0.977688
74,1.0,0.516209,0.829336,0.982871
75,1.0,0.504094,0.847002,1.0
76,0.99315,0.480004,0.838357,1.0
77,0.961564,0.487454,0.801053,1.0
78,0.938232,0.477428,0.83037,1.0
79,0.940213,0.486618,0.751909,1.0
80,0.828616,0.512519,0.763091,1.0
81,0.783162,0.442266,0.776528,1.0
82,0.724722,0.405434,0.732458,0.998632
83,0.475664,0.375843,0.618761,0.964043
84,0.275802,0.293823,0.505908,0.92406
85,0.208557,0.25518,0.408842,0.881432
86,0.171908,0.235058,0.358853,0.826534
87,0.188747,0.251351,0.341751,0.775233
88,0.208557,0.268897,0.37088,0.731759
89,0.319274,0.304963,0.471893,0.656446
90,0.453433,0.409333,0.552421,0.656446
91,0.522108,0.462876,0.565388,0.765819
92,0.790646,0.501866,0.583148,0.840814
93,0.871978,0.554086,0.629473,0.893596
94,0.929758,0.580196,0.698631,0.942677
95,0.947367,0.585836,0.702577,0.975256
96,0.965966,0.55346,0.680308,0.979698
97,0.95287,0.491492,0.639809,0.973669
98,0.951549,0.495461,0.631728,0.980439
99,0.938012,0.489125,0.627029,0.993449
100,0.866916,0.486618,0.678241,1.0
101,0.807705,0.46023,0.707558,0.995142
102,0.790756,0.416087,0.629473,0.984247
103,0.810126,0.401535,0.552421,1.0
104,0.72054,0.414137,0.612747,1.0
105,0.704912,0.340542,0.519345,0.985727
106,0.640859,0.319167,0.408842,0.964467
107,0.488431,0.293893,0.237638,0.929455
108,0.303866,0.222804,0.172332,0.896664
109,0.209658,0.163831,0.125162,0.873393
110,0.185555,0.135493,0.097442,0.803898
111,0.206246,0.174414,0.197985,0.760001
112,0.269198,0.211803,0.261881,0.740538
113,0.31091,0.275859,0.380277,0.629156
114,0.358124,0.40056,0.523386,0.6263
115,0.434503,0.416087,0.54979,0.796494
116,0.528602,0.450482,0.627123,0.850122
117,0.420416,0.494695,0.688671,0.858056
118,0.40798,0.522058,0.726069,0.933051
119,0.616097,0.549839,0.700698,0.989007
120,0.685983,0.559587,0.707558,0.948494
121,0.651645,0.541345,0.736781,0.906501
122,0.796809,0.487384,0.713196,0.917079
123,0.848316,0.429316,0.675046,0.959918
124,0.72054,0.507158,0.662172,0.964043
125,0.48689,0.50869,0.645541,0.956428
126,0.324777,0.489125,0.650051,0.945215
127,0.289009,0.477428,0.629473,0.941407
128,0.218902,0.461971,0.612841,0.955475
129,0.235411,0.374868,0.65785,0.96087
130,0.31223,0.364842,0.629379,0.934109
131,0.362526,0.339498,0.556368,0.871807
132,0.322026,0.25908,0.484202,0.80612
133,0.287688,0.224684,0.445865,0.756299
134,0.434393,0.206372,0.436186,0.7032
135,0.316413,0.231299,0.430736,0.636455
136,0.392572,0.244528,0.455449,0.593615
137,0.54467,0.293893,0.495102,0.589173
138,0.316413,0.427436,0.558905,0.684371
139,0.309479,0.416087,0.588222,0.746673
140,0.451782,0.444146,0.650051,0.763492
141,0.519027,0.524913,0.734244,0.724037
142,0.592544,0.547263,0.810731,0.736836
143,0.533444,0.528464,0.802744,0.798504
144,0.530253,0.637883,0.774461,0.838064
145,0.562279,0.603908,0.736781,0.831294
146,0.551053,0.578053,0.713196,0.864191
147,0.400276,0.589253,0.721558,0.888519
148,0.3896,0.586733,0.713196,0.942571
149,0.403357,0.543517,0.764594,0.957379
150,0.46774,0.573012,0.760836,0.944792
151,0.488431,0.635643,0.679274,0.936436
152,0.478856,0.600268,0.682375,0.911261
153,0.536636,0.543517,0.627029,0.892856
154,0.559087,0.3966,0.558905,0.870008
155,0.510883,0.307554,0.480068,0.848324
156,0.493273,0.276659,0.399352,0.82939
157,0.372982,0.257711,0.339214,0.806014
158,0.303866,0.226069,0.305763,0.778618
159,0.099711,0.260044,0.307078,0.745404
160,0.141973,0.353944,0.339214,0.708488
161,0.203935,0.470152,0.403392,0.642167
162,0.205035,0.566665,0.499143,0.649359
163,0.183354,0.603908,0.516714,0.717691
164,0.425038,0.63891,0.561536,0.768252
165,0.724722,0.697901,0.610304,0.797446
166,0.840942,0.702754,0.711222,0.868422
167,0.626992,0.672699,0.721558,0.941407
