h,s,p_grid,omega,p_wt,p_el,p_comp,m_in,m_out,m_tank
20,3,0,0,882.7496551,863.5407101,19.20894497,17305.35583,25000,7708.168593
21,1,197.1045475,197.109,962.866811,1134.729971,25.24138737,22739.98862,25000,17269.90396
21,2,168.4005767,168.4014,834.8877407,981.4564084,21.83190893,19668.38642,25000,0
21,3,0,0,882.0597715,862.8658387,19.19393286,17291.83141,25000,0
22,1,603.7713355,868.5852,1015.385434,1583.923345,35.23342445,31741.82383,25000,24011.72779
22,2,616.7285969,785.4373,959.7174436,1542.142017,34.30402388,30904.52601,25000,5904.526014
22,3,0,0,856.5661461,837.9269636,18.63918255,16792.05635,16792.05635,0
23,1,662.2789869,1048.2211,937.759352,1565.220938,34.81740064,31367.0276,25000,30378.75539
23,2,0,852.8361,982.5211979,961.1411888,21.38000906,19261.26942,25000,165.7954375
23,3,0,0,748.0200984,731.7429163,16.27718213,14664.12804,14664.12804,0
24,1,607.8246885,1189.9621,1011.332081,1583.923345,35.23342445,31741.82383,25000,37120.57922
24,2,171.6968544,1068.9152,1095.100877,1239.231765,27.56596706,24834.20456,25000,0
24,3,0,0,689.6847804,674.6769954,15.00778496,13520.52699,13520.52699,0
25,1,622.5217378,1048.3489,996.6350315,1583.923345,35.23342445,31741.82383,25000,43862.40305
25,2,161.8533008,1353.9905,1113.401689,1247.50499,27.75,25000,25000,0
25,3,0,0,763.2296369,746.6214898,16.60814707,14962.29466,14962.29466,0
26,1,426.5444599,512.6514,876.973881,1275.15332,28.36502052,25554.07254,25000,44416.47559
26,2,501.7821206,1113.9773,1117.374649,1583.923345,35.23342445,31741.82383,25000,6741.823831
26,3,0,0,549.3167951,537.3634672,11.95332791,10768.76388,10768.76388,0
27,1,238.3385594,367.3211,787.2568576,1003.278098,22.31731932,20105.69308,25000,39522.16867
27,2,376.6695498,1145.5201,1124.305577,1468.313377,32.66175008,29425.00007,25000,11166.8239
27,3,0,0,601.8030341,588.707587,13.09544705,11797.70004,11797.70004,0
28,1,404.5157241,698.8044,849.5197014,1226.747171,27.28825476,24584.0133,25000,39106.18197
28,2,0,957.8895,997.5973379,975.8892667,21.7080712,19556.82091,25000,5723.64481
28,3,0,0,628.1927639,614.523067,13.66969691,12315.04226,12315.04226,0
29,1,0,0,860.8941261,842.1607652,18.73336093,16876.90173,25000,30983.0837
29,2,628.4925521,1314.1093,990.6642172,1583.923345,35.23342445,31741.82383,25000,12465.46864
29,3,0,0,677.2336772,662.4968326,14.73684454,13276.43653,13276.43653,0
30,1,211.7522713,211.757,953.0687785,1139.474131,25.34691837,22835.06159,25000,28818.1453
30,2,579.6845048,1570.3795,1039.472265,1583.923345,35.23342445,31741.82383,25000,19207.29247
30,3,0,0,571.0516701,558.6253836,12.42628648,11194.85269,11194.85269,0
31,1,597.9100122,607.0307,1021.246757,1583.923345,35.23342445,31741.82383,25000,35559.96913
31,2,246.4535843,596.8596,729.2295806,954.4519538,21.23121104,19127.21715,25000,13334.50963
31,3,0,0,601.5831205,588.4924589,13.09066165,11793.38888,1303.527074,10489.8618
32,1,519.7329369,1390.6829,1099.423832,1583.923345,35.23342445,31741.82383,25000,42301.79296
32,2,0,491.2723,595.0589924,582.1102981,12.94869431,11665.49037,25000,0
32,3,0,0,740.1650457,724.0587923,16.1062534,14510.1382,25000,0
33,1,559.1844541,1264.9524,1059.972315,1583.923345,35.23342445,31741.82383,25000,49043.61679
33,2,200.8159962,1524.4976,1074.438994,1247.50499,27.75,25000,25000,0
33,3,242.8999815,355.7826,745.1456883,966.5454463,21.50022352,19369.57074,19369.57074,0
34,1,454.4577482,1951.8497,1164.699021,1583.923345,35.23342445,31741.82383,25000,55785.44062
34,2,435.0401778,1640.3083,1124.958071,1526.052135,33.94611411,30582.08478,25000,5582.08478
34,3,38.72851669,38.7294,868.079189,887.075249,19.73245667,17776.98799,17776.98799,0
35,1,442.6178946,1778.0603,1176.538875,1583.923345,35.23342445,31741.82383,9051.49568,78475.76877
35,2,0,1641.492,1177.751654,1152.123361,25.62829288,23088.55215,25000,3670.636928
35,3,411.8181308,748.4447,784.4459808,1170.232981,26.03113052,23451.46894,23451.46894,0
36,1,480.5688386,1510.6591,1138.587931,1583.923345,35.23342445,31741.82383,25000,85217.59261
36,2,0,1688.9684,1187.818671,1161.971317,25.84735476,23285.90519,25000,1956.542115
36,3,652.2325627,674.2966,961.9336649,1579.041399,35.1248285,31643.98964,25000,6643.98964
37,1,568.8950043,1395.3237,1050.261765,1583.923345,35.23342445,31741.82383,25000,91959.41644
37,2,0,1677.731,1175.451386,1149.873148,25.57823825,23043.45788,25000,0
37,3,276.7052791,276.7139,963.0417756,1212.76972,26.97733476,24303.90519,25000,5947.894828
38,1,665.4215699,701.9526,942.5487637,1572.98033,34.99000365,31522.52581,25000,98481.94225
38,2,484.1358021,1269.8177,1135.020967,1583.923345,35.23342445,31741.82383,25000,6741.823831
38,3,399.2383211,399.4959,1024.344121,1392.604785,30.97765787,27907.79988,25000,8855.694711
39,1,578.9313,578.9313,960.3006593,1505.737727,33.4942323,30174.98405,25000,103656.9263
39,2,492.1107198,825.1571,1127.046049,1583.923345,35.23342445,31741.82383,25000,13483.64766
39,3,177.8694286,177.8735,932.0438329,1085.761156,24.15210546,21758.65357,0,30614.34828
40,1,205.6180308,205.6227,961.1754835,1141.403674,25.38983989,22873.72963,22873.72963,103656.9263
40,2,444.3736563,444.6685,1125.117569,1535.338541,34.15268464,30768.18436,25000,19251.83202
40,3,0,0,586.9588117,574.1863802,12.77243152,11506.69506,5685.773229,36435.27011
41,1,51.88204249,51.8832,864.9987766,896.9291679,19.95165118,17974.46052,25000,96631.38682
41,2,494.3838968,494.7932,1101.777642,1561.428498,34.73304009,31291.02711,25000,25542.85913
41,3,0,0,616.5372996,603.1212297,13.41606988,12086.54944,25000,23521.81955
42,1,0,0,836.3124318,818.1139773,18.19845456,16395.0041,25000,88026.39093
42,2,492.1687198,612.4489,1126.98805,1583.923345,35.23342445,31741.82383,25000,32284.68296
42,3,0,0,621.9282572,608.3948781,13.53337903,12192.23336,25000,10714.05291
43,1,0,0,803.4553368,785.9718643,17.48347254,15750.87616,25000,78777.26709
43,2,399.3352766,399.3913,1006.345582,1375.092745,30.58811306,27556.85861,25000,34841.54157
43,3,0,0,728.7290125,712.8716112,15.85740127,14285.94709,25000,0
44,1,0,0,585.7492826,573.0031709,12.74611173,11482.98354,25000,65260.25063
44,2,209.3733084,209.3743,920.5836333,1105.368679,24.58826303,22151.58832,25000,31993.12989
44,3,169.4914426,169.4952,900.0769775,1046.294233,23.27418743,20967.73642,20967.73642,0
45,1,0,0,734.8128288,718.8230416,15.98978727,14405.21375,25000,54665.46439
45,2,295.7732978,295.8474,973.9770803,1242.12016,27.6302177,24892.08801,25000,31885.21791
45,3,407.9837163,408.2548,1026.05829,1402.836745,31.20526169,28112.84837,25000,3112.848372
46,1,531.7717397,615.3411,866.4619719,1367.807651,30.42606052,27410.86533,25000,57076.32971
46,2,638.7997896,718.0779,980.3569797,1583.923345,35.23342445,31741.82383,25000,38627.04174
46,3,297.8372,297.8372,953.360387,1223.971085,27.22650239,24528.38053,25000,2641.228907
