,Scenario_1,Scenario_2,Scenario_3,Scenario_4
80,0.722591,0.164175,0.736733,0.903144
81,0.742265,0.153255,0.726715,0.876852
82,0.723657,0.091313,0.704693,0.873709
83,0.620735,0.065613,0.638912,0.861325
84,0.539811,0.036337,0.622372,0.848942
85,0.489513,0.039349,0.575115,0.828842
86,0.457047,0.045656,0.54109,0.806171
87,0.497944,0.057988,0.507443,0.800074
88,0.589722,0.154196,0.465007,0.800169
89,0.729763,0.246074,0.389301,0.769592
90,0.719587,0.33588,0.418128,0.771211
91,0.713384,0.439807,0.502056,0.845322
92,0.820184,0.460423,0.53041,0.882949
93,0.848967,0.446585,0.61878,0.892856
94,0.879398,0.478215,0.704788,0.903429
95,0.899072,0.439807,0.708663,0.914956
96,0.907794,0.346329,0.712538,0.917337
97,0.906437,0.251816,0.699684,0.906001
98,0.891319,0.235907,0.635415,0.903429
99,0.870385,0.241461,0.664997,0.913908
100,0.871742,0.230259,0.682199,0.914765
101,0.906437,0.206536,0.732196,0.901905
102,0.911186,0.171705,0.736733,0.914384
103,0.88279,0.265936,0.760361,0.901334
104,0.840245,0.193169,0.674732,0.916861
105,0.846641,0.157773,0.572563,0.923719
106,0.843734,0.142806,0.413969,0.921624
107,0.806809,0.095455,0.285147,0.916861
108,0.733543,0.043585,0.200085,0.90724
109,0.632073,0.079357,0.15746,0.890665
110,0.537001,0.069944,0.139029,0.839225
111,0.527309,0.071732,0.120316,0.838273
112,0.543882,0.147983,0.172393,0.836082
113,0.618215,0.051681,0.337224,0.753874
114,0.672777,0.018168,0.54109,0.762352
115,0.717552,0.038784,0.57124,0.832176
116,0.843249,0.147983,0.559615,0.872185
117,0.886957,0.348965,0.585322,0.893523
118,0.915838,0.449409,0.673693,0.908192
119,0.909635,0.50542,0.684278,0.914956
120,0.891319,0.496007,0.627097,0.915432
121,0.877169,0.446679,0.543736,0.914765
122,0.878041,0.378336,0.460848,0.891903
123,0.859143,0.346329,0.42361,0.904954
124,0.82154,0.371558,0.404423,0.915432
125,0.814078,0.485087,0.441567,0.921624
126,0.837919,0.518976,0.43325,0.910383
127,0.812527,0.404129,0.307547,0.926101
128,0.787814,0.397351,0.250461,0.931245
129,0.775506,0.368922,0.203204,0.937722
130,0.759031,0.346329,0.177118,0.935531
131,0.691869,0.292577,0.130712,0.928768
132,0.572471,0.230259,0.090355,0.914765
133,0.417506,0.231388,0.059922,0.904191
134,0.333675,0.235907,0.031473,0.884378
135,0.352476,0.29013,0.030055,0.858182
136,0.449972,0.393209,0.063513,0.821793
137,0.569758,0.412319,0.240253,0.779784
138,0.629457,0.600499,0.485611,0.77826
139,0.677332,0.694918,0.594112,0.858658
140,0.794114,0.745846,0.602902,0.891903
141,0.841505,0.717416,0.605359,0.900476
142,0.875425,0.730125,0.624735,0.906001
143,0.870385,0.735491,0.624829,0.915622
144,0.872226,0.555697,0.661689,0.911907
145,0.866024,0.522034,0.651576,0.910764
146,0.839663,0.486896,0.559615,0.912574
147,0.803902,0.472061,0.445726,0.919623
148,0.806809,0.411589,0.360947,0.927815
149,0.816016,0.357451,0.331932,0.935722
150,0.851681,0.377492,0.316526,0.931816
151,0.865539,0.322834,0.234583,0.915241
152,0.803902,0.27312,0.180993,0.933817
153,0.753604,0.177164,0.188933,0.92953
154,0.657465,0.087974,0.171448,0.918194
155,0.479628,0.044074,0.150371,0.900762
156,0.294909,0.036786,0.128349,0.874566
157,0.188595,0.039649,0.115685,0.850752
158,0.132385,0.050234,0.109636,0.801408
159,0.15419,0.093267,0.135721,0.752254
160,0.249844,0.188442,0.203204,0.701196
161,0.374282,0.305915,0.353008,0.643946
162,0.476817,0.44959,0.488352,0.621274
163,0.579158,0.485682,0.529087,0.72301
164,0.732573,0.478307,0.543831,0.785785
165,0.803902,0.534961,0.535797,0.816363
166,0.866993,0.557953,0.559615,0.843321
167,0.884922,0.560208,0.564813,0.871042
