,Scenario_1,Scenario_2,Scenario_3,Scenario_4
0,0.869028,0.777287,0.797789,0.866469
1,0.848967,0.754977,0.815368,0.848942
2,0.815338,0.727489,0.818298,0.854086
3,0.818052,0.689929,0.828411,0.861421
4,0.815338,0.645496,0.834177,0.890665
5,0.804677,0.680515,0.848448,0.88514
6,0.8228,0.666677,0.833704,0.875328
7,0.649227,0.638624,0.790322,0.869327
8,0.668126,0.616314,0.795804,0.859134
9,0.652716,0.582989,0.738529,0.836082
10,0.634496,0.517658,0.713483,0.814458
11,0.554833,0.468613,0.757904,0.807504
12,0.409074,0.345011,0.736639,0.771211
13,0.272425,0.296343,0.681159,0.72101
14,0.181617,0.233553,0.585322,0.676905
15,0.168049,0.254169,0.535797,0.621179
16,0.212726,0.251816,0.510184,0.554689
17,0.361974,0.417779,0.487028,0.533256
18,0.492323,0.516246,0.52644,0.571835
19,0.535644,0.568963,0.529087,0.629752
20,0.686442,0.600499,0.636549,0.67681
21,0.768722,0.706779,0.704693,0.729583
22,0.844315,0.7257,0.787581,0.790929
23,0.844315,0.71544,0.80431,0.842845
24,0.799444,0.662346,0.815368,0.856848
25,0.808942,0.609065,0.839753,0.848942
26,0.852844,0.600499,0.850622,0.861421
27,0.849452,0.625821,0.851094,0.880567
28,0.779674,0.653403,0.84325,0.891903
29,0.761744,0.600499,0.846463,0.883711
30,0.784616,0.566421,0.837863,0.879043
31,0.810395,0.644366,0.740136,0.886092
32,0.808942,0.676373,0.84221,0.849894
33,0.736547,0.607841,0.851094,0.812077
34,0.680724,0.501373,0.811777,0.773592
35,0.497944,0.378336,0.75384,0.710246
36,0.321852,0.235813,0.704693,0.646327
37,0.218154,0.272997,0.577667,0.584791
38,0.165238,0.26829,0.559615,0.545354
39,0.188595,0.292577,0.57124,0.530589
40,0.234823,0.177448,0.637777,0.554689
41,0.379806,0.312628,0.704693,0.573169
42,0.449972,0.521612,0.756297,0.674619
43,0.449972,0.512198,0.801097,0.787214
44,0.606682,0.453551,0.816597,0.831033
45,0.722591,0.514928,0.838808,0.847799
46,0.82154,0.616314,0.862531,0.866088
47,0.827355,0.653403,0.868485,0.8779
48,0.836659,0.668936,0.876802,0.864469
49,0.839082,0.585531,0.865366,0.832176
50,0.831813,0.449409,0.837768,0.815125
51,0.795761,0.471343,0.883702,0.850752
52,0.723657,0.502785,0.89665,0.884473
53,0.713384,0.496007,0.882095,0.883711
54,0.705922,0.405541,0.878503,0.886092
55,0.600189,0.446679,0.864988,0.899047
56,0.609299,0.483675,0.907803,0.907049
57,0.500755,0.475485,0.90062,0.882663
58,0.45695,0.383796,0.885876,0.877519
59,0.417506,0.306321,0.838808,0.850847
60,0.35519,0.231388,0.817164,0.824746
61,0.287253,0.171705,0.782572,0.787214
62,0.272522,0.101856,0.740136,0.727773
63,0.321852,0.155985,0.720193,0.684431
64,0.402,0.187238,0.672558,0.669094
65,0.234823,0.137628,0.671613,0.6509
66,0.386784,0.076157,0.728605,0.687574
67,0.434369,0.123037,0.786825,0.779784
68,0.662214,0.189215,0.815368,0.823603
69,0.782969,0.286364,0.854686,0.84637
70,0.852844,0.402811,0.871415,0.866469
71,0.852844,0.405541,0.871415,0.882949
72,0.865636,0.310181,0.850622,0.886759
73,0.873099,0.216138,0.85289,0.878662
74,0.882402,0.171705,0.823402,0.890951
75,0.884438,0.159562,0.829451,0.900762
76,0.864667,0.152313,0.80431,0.900762
77,0.86457,0.109199,0.802987,0.912193
78,0.870385,0.071732,0.787581,0.911526
79,0.800898,0.105433,0.765938,0.916004
