h,s,p_grid,omega,p_wt,p_el,p_comp,m_in,m_out,m_tank
1,1,493.3937835,1036.9096,1127.116364,1585.247273,35.26287443,31768.35534,25000,6768.355343
1,2,78.73320581,1250.2617,1309.176744,1357.708538,30.20141179,27208.47909,25000,2208.479092
1,3,0,96.7304,722.3381038,706.6197709,15.71833283,14160.66021,14160.66021,0
2,1,358.8612654,709.8295,979.2600332,1309.003306,29.11799313,26232.42624,25000,8000.781586
2,2,0,749.2752,1162.600031,1137.301443,25.29858821,22791.52091,25000,0
2,3,229.6764648,229.7931,1155.265748,1354.80538,30.13683279,27150.29981,25000,2150.299811
3,1,372.5308451,928.8443,971.2535461,1314.543167,29.24122403,26343.44507,25000,9344.226656
3,2,108.9780422,1003.0939,1247.888289,1327.34044,29.52589168,26599.90241,25000,1599.902415
3,3,103.1935123,103.4432,1186.527217,1261.655949,28.0647796,25283.58523,25000,2433.885037
4,1,490.4173137,1211.0357,1007.92997,1465.742716,32.60456728,29373.48404,25000,13717.71069
4,2,0,1171.1924,1193.643649,1167.66954,25.97410832,23400.09759,25000,0
4,3,227.7173538,227.833,1097.823168,1296.69629,28.84423096,25985.79366,25000,3419.678696
5,1,0,0,893.795174,874.3458747,19.44929937,17521.89133,25000,6239.60202
5,2,341.1649302,1623.1221,1279.345217,1585.247273,35.26287443,31768.35534,25000,6768.355343
5,3,330.1446546,438.7453,1009.627952,1310.618681,29.15392618,26264.79836,9869.067948,19815.40911
6,1,120.772128,120.8335,1170.224779,1262.904357,28.09254968,25308.60332,25000,6548.205337
6,2,246.8257448,1635.5117,1373.684402,1585.247273,35.26287443,31768.35534,25000,13536.71069
6,3,0,0,834.7399557,816.5757188,18.16423692,16364.17741,25000,11179.58652
7,1,214.4190588,746.4405,1406.091088,1585.247273,35.26287443,31768.35534,25000,13316.56068
7,2,370.7338253,1395.8306,1249.776322,1585.247273,35.26287443,31768.35534,25000,20305.06603
7,3,0,0,885.0040191,865.7460184,19.25800073,17349.55021,25000,3529.136726
8,1,145.6699442,1428.3591,1474.840203,1585.247273,35.26287443,31768.35534,25000,20084.91602
8,2,171.3884498,747.669,1371.51794,1509.3322,33.5741892,30247.01729,25000,25552.08332
8,3,29.72346096,29.7386,1065.50956,1071.400363,23.83265823,21470.86327,25000,0
9,1,148.2877552,1270.6824,1472.222392,1585.247273,35.26287443,31768.35534,25000,26853.27137
9,2,222.7418904,1309.3191,1397.768257,1585.247273,35.26287443,31768.35534,25000,32320.43867
9,3,435.2900295,914.6714,1185.220118,1585.247273,35.26287443,31768.35534,25000,6768.355343
10,1,144.5314983,1859.3377,1475.978649,1585.247273,35.26287443,31768.35534,25000,33621.62671
10,2,316.6011361,1601.4852,1303.909011,1585.247273,35.26287443,31768.35534,25000,39088.79401
10,3,225.007422,225.5519,1324.866781,1516.148392,33.72581128,30383.61377,25000,12151.96911
11,1,157.0348517,1763.6729,1463.475295,1585.247273,35.26287443,31768.35534,25000,40389.98205
11,2,387.4719639,1474.1494,1233.038183,1585.247273,35.26287443,31768.35534,25000,45857.14935
11,3,247.2048757,1273.3493,1373.305271,1585.247273,35.26287443,31768.35534,25000,18920.32446
12,1,187.9520935,1585.297,1432.558054,1585.247273,35.26287443,31768.35534,25000,47158.3374
12,2,382.6429559,1544.1082,1237.867191,1585.247273,35.26287443,31768.35534,25000,52625.5047
12,3,365.7595847,760.5801,1254.750562,1585.247273,35.26287443,31768.35534,25000,25688.6798
13,1,223.8251217,1600.0289,1396.685025,1585.247273,35.26287443,31768.35534,25000,53926.69274
13,2,0,1481.8473,1200.723773,1174.595598,26.12817433,23538.89579,25000,51164.40048
13,3,133.6713811,322.6066,922.399589,1033.090492,22.98047814,20703.13346,25000,21391.81326
14,1,357.1908197,699.1319,1263.319327,1585.247273,35.26287443,31768.35534,25000,60695.04808
14,2,0,1081.2564,1140.204813,1115.393553,24.81126035,22352.4868,25000,48516.88729
14,3,218.3018699,383.6878,986.1638304,1178.2561,26.2096,23612.25225,25000,20004.06551
15,1,465.6454306,578.4715,1101.747305,1533.285715,34.10702076,30727.04573,25000,66422.09382
15,2,0,560.5415,967.4812272,946.4284932,21.05273397,18966.427,25000,42483.31429
