h,s,p_grid,omega,p_wt,p_el,p_comp,m_in,m_out,m_tank
1,1,643.3590682,1036.9096,829.4057863,1440.71697,32.04788457,28871.96808,25000,3871.968077
1,2,600.1462601,1250.2617,963.3776968,1529.501122,34.02283476,30651.20249,25000,5651.202488
1,3,0,96.7304,531.5435232,519.9769479,11.56657522,10420.33804,10420.33804,0
2,1,359.1268549,709.8295,720.603448,1056.234989,23.4953136,21166.94919,25000,38.91726232
2,2,618.9160926,749.2752,855.5169846,1442.348891,32.08418568,28904.67179,25000,9555.874273
2,3,229.7920474,229.7931,850.1199405,1056.412721,23.49926713,21170.51092,21170.51092,0
3,1,372.8065513,928.8443,714.7117521,1063.85352,23.66478325,21319.62455,21358.54181,0
3,2,645.246305,1003.0939,918.2776519,1529.501122,34.02283476,30651.20249,25000,15207.07676
3,3,103.4408807,103.4432,873.1241697,955.3146492,21.25040118,19144.50557,19144.50557,0
4,1,490.7807464,1211.0357,741.7006587,1205.662173,26.81923165,24161.46996,24161.46996,0
4,2,685.1630522,1171.1924,878.3609047,1529.501122,34.02283476,30651.20249,25000,20858.27925
4,3,227.8319505,227.833,807.8499407,1013.145087,22.53680457,20303.42754,20303.42754,0
5,1,0,0,657.7128263,643.4007624,14.31206392,12893.75128,7144.032302,5749.718977
5,2,622.0982445,1623.1221,941.4257124,1529.501122,34.02283476,30651.20249,25000,26509.48174
5,3,330.5474418,438.7453,742.950145,1050.137899,23.35968749,21044.7635,21044.7635,0
6,1,120.8329055,120.8335,861.1277718,960.5928654,21.36781194,19250.28102,25000,0
6,2,552.6773145,1635.5117,1010.846642,1529.501122,34.02283476,30651.20249,25000,32160.68422
6,3,0,0,614.2561422,600.8897111,13.36643109,12041.82981,12041.82981,0
7,1,528.8303597,746.4405,1034.693597,1529.501122,34.02283476,30651.20249,25000,5651.202488
7,2,643.8569675,1395.8306,919.6669894,1529.501122,34.02283476,30651.20249,25000,37811.88671
7,3,0,0,651.2437207,637.0724268,14.17129389,12766.93143,12766.93143,0
8,1,478.2402741,1428.3591,1085.283683,1529.501122,34.02283476,30651.20249,25000,11302.40498
8,2,554.271539,747.669,1009.252418,1529.501122,34.02283476,30651.20249,25000,43463.0892
8,3,29.73841902,29.7386,784.0714794,796.1011069,17.70879146,15953.86618,15953.86618,0
9,1,480.1666302,1270.6824,1083.357327,1529.501122,34.02283476,30651.20249,25000,16953.60746
9,2,534.9548425,1309.3191,1028.569114,1529.501122,34.02283476,30651.20249,25000,49114.29169
9,3,668.3086091,914.6714,872.1623208,1506.949737,33.52119274,30199.27273,25000,5199.272734
10,1,477.4025312,1859.3377,1086.121426,1529.501122,34.02283476,30651.20249,25000,22604.80995
10,2,604.0226016,1601.4852,959.5013553,1529.501122,34.02283476,30651.20249,25000,54765.49417
10,3,225.5467944,225.5519,974.9234504,1174.347587,26.12265747,23533.92565,25000,3733.198384
11,1,486.6033148,1763.6729,1076.920642,1529.501122,34.02283476,30651.20249,25000,28256.01244
11,2,656.1739823,1474.1494,907.3499746,1529.501122,34.02283476,30651.20249,25000,60416.69666
11,3,552.9563037,1273.3493,1010.567653,1529.501122,34.02283476,30651.20249,17184.41811,17199.98276
