h,s,p_grid,omega,p_wt,p_el,p_comp,m_in,m_out,m_tank
108,1,448.4749664,815.2205,971.2676259,1388.848491,30.89410137,27832.52376,25000,8535.082294
108,2,142.485317,387.8513,755.4663857,878.4119558,19.53974691,17603.37559,25000,227.4580121
108,3,609.0027197,1553.8967,1057.760107,1630.493477,36.26934911,32675.08929,25000,48275.49126
109,1,419.3337521,703.736,961.6560169,1350.938943,30.05082622,27072.81641,25000,10607.89871
109,2,395.0955983,986.8472,868.5567132,1236.15479,27.49752161,24772.54199,25000,0
109,3,438.1191401,1664.6085,1228.643686,1630.493477,36.26934911,32675.08929,25000,55950.58055
110,1,105.7819301,114.2882,867.3602619,951.9662734,21.17591857,19077.40412,25000,4685.302826
110,2,211.2528676,1469.8457,1064.002122,1247.50499,27.75,25000,25000,0
110,3,513.19113,1489.9728,1153.571697,1630.493477,36.26934911,32675.08929,25000,63625.66983
111,1,0,0,807.9941204,790.4118823,17.58223808,15839.85412,20525.15695,0
111,2,450.9387653,1730.1873,1215.824061,1630.493477,36.26934911,32675.08929,25000,7675.089288
111,3,574.1095147,1469.378,1092.653312,1630.493477,36.26934911,32675.08929,25000,71300.75912
112,1,0,47.1893,666.3383654,651.8386067,14.4997587,13062.84568,13062.84568,0
112,2,0,1762.2017,1256.809703,1229.461079,27.34862403,24638.40003,25000,7313.48932
112,3,622.0588382,1138.4623,1032.16035,1618.222793,35.9963951,32429.18477,25000,78729.94389
113,1,0,0,787.5659705,770.4282562,17.1377143,15439.38225,15439.38225,0
113,2,0,1527.5882,1169.847921,1144.391617,25.45630487,22933.60799,25000,5247.097315
113,3,435.0715491,958.1946,920.5358746,1326.108926,29.4984974,26575.22288,25000,80305.16678
114,1,0,0,615.932315,602.5294098,13.4029052,12074.68937,494.1320954,11580.55728
114,2,541.4479984,1310.3139,1125.314828,1630.493477,36.26934911,32675.08929,25000,12922.1866
114,3,387.0120488,868.1984,932.9878306,1291.276215,28.72366463,25877.17534,25000,81182.34212
115,1,0,0,718.6390366,703.0011968,15.63783982,14088.14398,0,25668.70126
115,2,42.82537554,1184.884,1138.820179,1155.932529,25.71302556,23164.88789,25000,11087.07449
115,3,361.614094,715.4108,933.962718,1267.384602,28.19221004,25398.38742,25000,81580.72954
116,1,0,0,548.9913933,537.0451463,11.94624705,10762.38473,25000,11431.08599
116,2,0,693.5849,981.2446998,959.8924678,21.35223201,19236.24505,25000,5323.319546
116,3,417.9572,934.8396,942.7263535,1331.074598,29.60895578,26674.73494,25000,83255.46448
117,1,0,91.8357,692.153012,677.0915174,15.06149455,13568.91401,25000,0
117,2,0,327.4625,1003.711397,981.8702821,21.8411153,19676.68045,25000,0
117,3,0,544.4486,782.8417218,765.8068088,17.03491298,15346.76845,25000,73602.23293
118,1,0,0,509.093181,498.0151332,11.07804783,9980.22327,9980.22327,0
118,2,74.46546192,793.6136,1200.789528,1247.50499,27.75,25000,25000,0
118,3,159.9555253,586.9837,825.5921925,964.1018506,21.44586721,19320.60109,25000,67922.83402
119,1,0,0,656.8055049,642.5131846,14.29232028,12875.96422,480.9641485,12395.00007
119,2,29.73101364,1329.4672,1245.523976,1247.50499,27.75,25000,25000,0
119,3,40.33487749,357.312,796.370818,818.4986834,18.20701211,16402.71361,25000,59325.54763
120,1,0,0,642.9835623,628.9920124,13.99154992,12604.99993,25000,0
120,2,0,1247.6802,1314.776406,1286.166406,28.61,25774.77478,25000,774.7747767
120,3,532.7845126,902.8082,1035.882644,1534.532404,34.1347526,30752.02937,25000,65077.577
121,1,330.3275675,330.519,1173.875029,1471.470615,32.73198096,29488.27113,25000,4488.271132
121,2,435.5350807,1283.4981,1231.227746,1630.493477,36.26934911,32675.08929,25000,8449.864065
121,3,419.0239407,1276.3847,1247.738886,1630.493477,36.26934911,32675.08929,25000,72752.66629
122,1,294.1160325,294.8613,1188.665968,1450.516139,32.26586121,29068.34343,25000,8556.614565
122,2,0,1541.9626,1096.621691,1072.758815,23.86287618,21498.08665,25000,4947.950713
122,3,405.9198315,654.8969,1009.959532,1385.069327,30.81003615,27756.78932,25000,75509.45561
123,1,352.8338376,414.334,1313.928989,1630.493477,36.26934911,32675.08929,25000,16231.70385
123,2,427.4808658,1835.8703,1239.281961,1630.493477,36.26934911,32675.08929,25000,12623.04
123,3,147.8822653,332.9272,903.4310522,1028.436368,22.87694994,20609.86481,25000,71119.32041
124,1,307.9905539,411.581,1358.772273,1630.493477,36.26934911,32675.08929,25000,23906.79314
124,2,0,1063.8716,1314.913517,1286.300533,28.61298358,25777.46268,25000,13400.50268
124,3,317.3718481,544.1707,1003.888649,1292.509401,28.75109613,25901.8884,25000,72021.20882
125,1,0,0,1074.472601,1051.091696,23.38090413,21063.8776,25000,19970.67074
125,2,0,970.4437,1346.034024,1316.743847,29.29017684,26387.5467,25000,14788.04938
125,3,449.3955404,627.2317,1112.651255,1528.056104,33.9906912,30622.24432,25000,77643.45314
126,1,116.015029,116.2958,1149.743149,1238.214832,27.54334601,24813.82524,25000,19784.49597
126,2,448.5896196,1096.6569,1218.173207,1630.493477,36.26934911,32675.08929,25000,22463.13867
126,3,492.5288726,763.6449,1082.963086,1541.208695,34.28326271,30885.82226,25000,83529.2754
127,1,242.2086632,242.7948,1193.070906,1404.047378,31.23219148,28137.10945,25000,22921.60542
127,2,363.833569,935.4247,1302.929258,1630.493477,36.26934911,32675.08929,25000,30138.22796
127,3,0,114.5841,778.2018334,761.267886,16.93394736,15255.80844,25000,73785.08383
128,1,407.3165925,812.9017,1259.446234,1630.493477,36.26934911,32675.08929,25000,30596.69471
128,2,0,156.8023,673.1294739,658.4819382,14.64753563,13195.97804,25000,18334.206
128,3,262.2916699,508.6069,915.8386963,1152.493832,25.63653381,23095.9764,25000,71881.06023
129,1,403.7306283,403.99,1176.962477,1546.296664,34.39644151,30987.78515,25000,36584.47985
