i,j,h,s,f_mw
12,14,40,1,-12.4687890586
12,14,40,2,-9.5538254161
12,14,40,3,-12.4799935797
12,14,41,1,-17.1912260889
12,14,41,2,-13.1255548253
12,14,41,3,-9.2600573913
12,14,42,1,-30.1780545754
12,14,42,2,-6.5693351510
12,14,42,3,-13.9426975534
12,14,43,1,-15.4430863711
12,14,43,2,-5.5375115629
12,14,43,3,-19.5129291549
12,14,44,1,-14.7715510823
12,14,44,2,-7.7401305241
12,14,44,3,-15.4330442007
12,14,45,1,-13.6620372267
12,14,45,2,-14.6260305529
12,14,45,3,-18.2819907554
12,14,46,1,-5.9363385298
12,14,46,2,-5.0024201398
12,14,46,3,-12.7707714406
12,14,47,1,0.7022944858
12,14,47,2,0.2429807512
12,14,47,3,-14.0714370232
12,14,48,1,6.6217249127
12,14,48,2,0.7568927563
12,14,48,3,-5.8629105622
12,14,49,1,-1.6466766192
12,14,49,2,7.0616986524
12,14,49,3,-17.0355162052
12,14,50,1,-7.8074424097
12,14,50,2,0.9817512418
12,14,50,3,1.1620655535
12,14,51,1,-7.5412475868
12,14,51,2,3.3443971831
12,14,51,3,2.0413719515
12,14,52,1,-6.5226353937
12,14,52,2,1.6949827058
12,14,52,3,-1.5998376037
12,14,53,1,-11.0393067153
12,14,53,2,0.4073004501
12,14,53,3,-5.3536436024
12,14,54,1,0.5626832655
12,14,54,2,-6.2160266537
12,14,54,3,-11.4128068793
12,14,55,1,-2.9903072514
12,14,55,2,4.3079758812
12,14,55,3,-9.6801642741
12,14,56,1,-7.9874936386
12,14,56,2,-1.4185151004
12,14,56,3,-3.5964836507
12,14,57,1,-12.3781909766
12,14,57,2,-4.6654149032
12,14,57,3,-0.5187063108
12,14,58,1,-17.3460175107
12,14,58,2,-3.0809962037
12,14,58,3,-0.3098502111
12,14,59,1,-13.4106812975
12,14,59,2,3.2989021222
12,14,59,3,-17.0440049694
12,14,60,1,-8.2544027236
12,14,60,2,-1.4264038832
12,14,60,3,2.9874129282
12,14,61,1,-8.0491144318
12,14,61,2,2.2822203007
12,14,61,3,-8.5026205719
12,14,62,1,1.3549887279
12,14,62,2,0.0841331988
12,14,62,3,-5.9673951230
12,14,63,1,-2.8563579257
12,14,63,2,-27.0083363461
12,14,63,3,-4.2962733542
12,14,64,1,-11.0881543459
12,14,64,2,-19.1812495572
12,14,64,3,-7.5895860949
12,14,65,1,-4.5510571273
12,14,65,2,-9.2509889106
12,14,65,3,-5.7496876291
12,14,66,1,-3.6416206001
12,14,66,2,-10.9768863946
12,14,66,3,-6.6741122001
12,14,67,1,-4.6834350985
12,14,67,2,-16.0327788284
12,14,67,3,-0.9666034112
12,14,68,1,2.5783632205
12,14,68,2,-8.5807722955
12,14,68,3,-24.1599998754
12,14,69,1,1.8344966413
12,14,69,2,-6.5729454975
12,14,69,3,0.1139273004
12,14,70,1,2.5719079286
12,14,70,2,1.8017737861
12,14,70,3,-2.0892456329
12,14,71,1,0.4531907159
12,14,71,2,2.0239645545
12,14,71,3,-8.1483353820
12,14,72,1,0.3421578523
12,14,72,2,-1.0624805367
12,14,72,3,-12.2636028511
12,14,73,1,2.9360694470
12,14,73,2,-7.8537747612
12,14,73,3,-8.5897773273
12,14,74,1,-2.7645651391
12,14,74,2,-4.3617979217
12,14,74,3,-19.2625367513
12,14,75,1,-7.3054313798
12,14,75,2,-9.9327186167
12,14,75,3,-16.5531072174
12,14,76,1,-4.7467704799
12,14,76,2,4.3480646933
12,14,76,3,-15.2929190272
12,14,77,1,-2.6192905305
12,14,77,2,3.1998471582
12,14,77,3,-12.1466347594
12,14,78,1,1.0921914756
12,14,78,2,1.5525899533
12,14,78,3,-18.2956538471
12,14,79,1,6.6379653909
12,14,79,2,-8.8979699386
12,14,79,3,-16.7916477307
12,14,80,1,11.0673394232
12,14,80,2,-17.2996784430
12,14,80,3,-4.2524942496
12,14,81,1,0.9678794451
12,14,81,2,-17.7131393200
12,14,81,3,-7.5803604348
12,14,82,1,-8.8360785244
12,14,82,2,-10.4189331525
12,14,82,3,-24.7854366918
12,14,83,1,-11.9075718618
12,14,83,2,-25.3921488407
12,14,83,3,-27.2054174313
12,14,84,1,-9.4513299427
12,14,84,2,-28.4350932353
12,14,84,3,4.8929586049
12,14,85,1,-2.4392585584
12,14,85,2,-8.7678508825
12,14,85,3,2.2720172393
12,14,86,1,0.7271469243
12,14,86,2,-6.7280670851
12,14,86,3,-0.5993565713
12,14,87,1,1.8049562488
12,14,87,2,-6.9891649159
12,14,87,3,0.6535146019
12,14,88,1,1.9087519584
12,14,88,2,5.4884920122
12,14,88,3,-17.6122851184
12,14,89,1,-4.1788816860
12,14,89,2,-4.5979558118
12,14,89,3,-15.7218923928
12,14,90,1,-5.1998897931
12,14,90,2,-20.8999428836
12,14,90,3,-15.4698524703
12,14,91,1,-5.6029848553
12,14,91,2,0.5408142082
12,14,91,3,-9.1155409614
12,14,92,1,-16.1214815563
12,14,92,2,-18.4924547825
12,14,92,3,-0.9704733843
12,14,93,1,-9.9723616309
12,14,93,2,-1.2382387295
12,14,93,3,-3.8344956962
12,14,94,1,-2.9896997953
12,14,94,2,0.8585495547
12,14,94,3,1.4993314239
12,14,95,1,3.7066408941
12,14,95,2,-31.5784187941
12,14,95,3,-4.9878834708
12,14,96,1,-3.0413508921
12,14,96,2,3.4684989798
12,14,96,3,-3.5286989379
12,14,97,1,0.0020407284
12,14,97,2,9.1618091858
12,14,97,3,-6.9271655537
12,14,98,1,-8.1229036014
12,14,98,2,-30.2444881553
12,14,98,3,-3.5932218472
12,14,99,1,-5.7448258299
12,14,99,2,-30.6686091264
12,14,99,3,-5.3309322656
12,14,100,1,-1.4077306437
12,14,100,2,-17.0843334044
12,14,100,3,-2.4354896907
12,14,101,1,-7.5974572981
12,14,101,2,-13.3441027820
12,14,101,3,-2.2397124102
12,14,102,1,46.7546287086
12,14,102,2,-6.2248003139
12,14,102,3,-14.3649427037
12,14,103,1,-28.3371698622
12,14,103,2,-17.4586451076
12,14,103,3,-14.4263046375
12,14,104,1,-30.6477894355
12,14,104,2,-1.4302694433
12,14,104,3,-14.2819314768
12,14,105,1,-8.3072323193
12,14,105,2,-2.4870298953
12,14,105,3,-18.3464774918
12,14,106,1,-3.5765296499
12,14,106,2,-14.6469000725
12,14,106,3,-16.1149544428
12,14,107,1,0.7471063642
12,14,107,2,-9.4348282240
12,14,107,3,-17.5187561358
12,14,108,1,-4.0072541042
12,14,108,2,-4.0125838329
12,14,108,3,13.8985576098
12,14,109,1,-0.5506853354
12,14,109,2,-5.8174495002
12,14,109,3,-3.4484506412
12,14,110,1,2.5299330702
12,14,110,2,-6.9733173534
12,14,110,3,-29.4767397876
12,14,111,1,-0.2667168059
12,14,111,2,-7.5289015222
12,14,111,3,18.6949656073
12,14,112,1,4.8832535759
12,14,112,2,-29.7644602700
12,14,112,3,-6.8756236860
12,14,113,1,2.9033374184
12,14,113,2,-8.5216143141
12,14,113,3,-5.2914470089
12,14,114,1,29.9808981005
12,14,114,2,-10.5694842379
12,14,114,3,-9.2581845401
12,14,115,1,-12.9920560418
12,14,115,2,-0.7803392867
12,14,115,3,-4.7840905849
12,14,116,1,-6.5708094964
12,14,116,2,2.3485245243
12,14,116,3,-10.0716069084
12,14,117,1,-6.8929636802
12,14,117,2,-10.6626140897
12,14,117,3,-9.9382323744
12,14,118,1,-9.4724739708
12,14,118,2,-30.1085601393
12,14,118,3,-8.5836398228
12,14,119,1,-3.5780299378
12,14,119,2,4.8253507788
12,14,119,3,-5.9936914893
12,14,120,1,4.2948312959
12,14,120,2,0.0713600201
12,14,120,3,-7.3939571531
12,14,121,1,-0.7166312682
12,14,121,2,4.2535653260
12,14,121,3,-30.3767501639
12,14,122,1,-3.2877418178
12,14,122,2,-9.8082337632
12,14,122,3,-3.3614881145
12,14,123,1,-11.0180630389
12,14,123,2,-10.1487398787
12,14,123,3,-1.9680680566
12,14,124,1,-17.1431232972
12,14,124,2,-5.9933534324
12,14,124,3,-4.9400523875
12,14,125,1,-15.8674911388
12,14,125,2,-4.2270463107
12,14,125,3,-3.2192659885
12,14,126,1,-21.5713815065
12,14,126,2,-17.0266506267
12,14,126,3,-6.3954163077
12,14,127,1,-12.2633809943
12,14,127,2,0.5772875235
12,14,127,3,0.5724831703
12,14,128,1,-11.8358087293
12,14,128,2,0.2156640126
12,14,128,3,-2.0628412919
12,14,129,1,-8.1741652651
12,14,129,2,6.0717978411
12,14,129,3,14.1530305791
12,14,130,1,-6.7462051917
12,14,130,2,9.3722969131
12,14,130,3,-24.5213776337
12,14,131,1,-8.7120386462
12,14,131,2,6.5218446172
12,14,131,3,-16.0567065887
12,14,132,1,6.4648962602
12,14,132,2,-8.7499965566
12,14,132,3,-11.1849752256
12,14,133,1,-2.1505025112
12,14,133,2,-22.2792969116
12,14,133,3,-4.1476551195
12,14,134,1,-11.0667159787
12,14,134,2,-10.0551578361
12,14,134,3,8.3256659331
12,14,135,1,-12.5336641474
12,14,135,2,6.9894935380
12,14,135,3,-2.6233242898
12,14,136,1,-9.5985114530
12,14,136,2,9.4606957472
12,14,136,3,12.3655437940
12,14,137,1,-15.0142355549
12,14,137,2,-1.3609521174
12,14,137,3,-14.5710431888
12,14,138,1,30.8456853664
12,14,138,2,2.0700824542
12,14,138,3,-0.7739716863
12,14,139,1,-10.8470431220
12,14,139,2,2.0466562384
12,14,139,3,-2.7549178141
12,14,140,1,-3.2188860130
12,14,140,2,1.0840733789
12,14,140,3,0.5450299942
12,14,141,1,5.2596881697
12,14,141,2,-32.7574894554
12,14,141,3,-2.2811382530
12,14,142,1,-8.1723199677
12,14,142,2,0.4312070750
12,14,142,3,-2.7058900188
12,14,143,1,-5.7697112256
12,14,143,2,1.6473674317
12,14,143,3,38.0296681792
12,14,144,1,-11.5815220686
12,14,144,2,2.4698951716
12,14,144,3,-5.5006615552
12,14,145,1,-20.2826430710
12,14,145,2,-0.6040998593
12,14,145,3,-7.0002970226
12,14,146,1,-20.9114073685
12,14,146,2,-7.1473680888
12,14,146,3,-10.6036507485
12,14,147,1,-23.5796487466
12,14,147,2,-6.9770562227
12,14,147,3,-14.6229690211
12,14,148,1,-26.8593355622
12,14,148,2,-23.9009700353
12,14,148,3,-16.9033412645
12,14,149,1,-18.4985004872
12,14,149,2,-5.1063891334
12,14,149,3,-21.4686657215
12,14,150,1,-15.9298154106
12,14,150,2,-1.3701600556
12,14,150,3,-15.2905267610
12,14,151,1,-19.0715480051
12,14,151,2,-20.5759759410
12,14,151,3,-17.2985219373
12,14,152,1,2.2451863909
12,14,152,2,-13.0629476817
12,14,152,3,-7.5316967222
12,14,153,1,-10.9706164323
12,14,153,2,-27.8157979467
12,14,153,3,-6.7711383791
12,14,154,1,-7.1715726828
12,14,154,2,-41.2445860223
12,14,154,3,-9.7615412242
12,14,155,1,-0.5724762512
12,14,155,2,-27.9390387137
12,14,155,3,-13.4375263812
12,14,156,1,-5.3176874326
12,14,156,2,-13.4615241333
12,14,156,3,-0.7220512655
12,14,157,1,-3.5955384327
12,14,157,2,-7.8428595829
12,14,157,3,-3.7033832371
12,14,158,1,-9.6341381279
12,14,158,2,0.4901357422
12,14,158,3,1.0822155990
12,14,159,1,-12.6008815774
12,14,159,2,-2.1236337172
12,14,159,3,1.1614950821
12,14,160,1,-18.2522791723
12,14,160,2,-2.1469890939
12,14,160,3,-2.1221662649
12,14,161,1,-12.2106534601
12,14,161,2,1.4616738298
12,14,161,3,-8.1412246417
12,14,162,1,-18.6236124622
12,14,162,2,-7.0052407077
12,14,162,3,-6.1144251984
12,14,163,1,-14.4764888451
12,14,163,2,-5.7095111762
12,14,163,3,-4.8302299992
12,14,164,1,-21.6090941345
12,14,164,2,-4.3820645662
12,14,164,3,-4.1520480530
12,14,165,1,-15.7281964042
12,14,165,2,-3.6867040649
12,14,165,3,-11.7373528156
12,14,166,1,-25.0606294413
12,14,166,2,-1.4859961132
12,14,166,3,-9.4950856972
12,14,167,1,-18.7497118045
12,14,167,2,-3.3101280438
12,14,167,3,-11.4588405975
12,14,168,1,-19.5970972627
12,14,168,2,-7.5566105985
12,14,168,3,-1.1718418125
12,16,1,1,-19.7925744725
12,16,1,2,-53.1876772906
12,16,1,3,-16.1177850600
12,16,2,1,-19.9768032567
12,16,2,2,-16.6316319293
12,16,2,3,-18.4387234386
12,16,3,1,-30.2028630072
12,16,3,2,-23.0746240621
12,16,3,3,-21.3646353126
12,16,4,1,-36.4761125845
12,16,4,2,-38.2171317559
12,16,4,3,-18.7790583434
12,16,5,1,-16.4593422280
12,16,5,2,-33.9799377948
12,16,5,3,-16.0270340607
12,16,6,1,-13.6773414678
12,16,6,2,-52.3012961534
12,16,6,3,-16.0035644432
12,16,7,1,-12.6746538642
12,16,7,2,-29.7069817882
12,16,7,3,-25.3275715927
12,16,8,1,-22.5551677478
12,16,8,2,-28.4891969152
12,16,8,3,-21.4051727057
12,16,9,1,-29.9541713538
12,16,9,2,-53.0178344956
12,16,9,3,-18.3498496257
12,16,10,1,-23.9776761496
12,16,10,2,-24.4724806521
12,16,10,3,-12.1087807687
12,16,11,1,-27.5706628134
12,16,11,2,-30.8494103380
12,16,11,3,-53.1197977388
12,16,12,1,-47.0570056386
12,16,12,2,-76.8508923749
12,16,12,3,-22.1095577009
12,16,13,1,-37.8209413109
12,16,13,2,-36.7849657188
12,16,13,3,-19.6593110107
12,16,14,1,-17.5814552038
12,16,14,2,-24.7229529951
12,16,14,3,-20.7078865591
12,16,15,1,-15.3581878693
12,16,15,2,-22.9270442411
12,16,15,3,-13.7826349058
12,16,16,1,-16.5557568052
12,16,16,2,-18.4886543097
12,16,16,3,-14.5376117873
12,16,17,1,-21.3792042890
12,16,17,2,-15.0165831768
12,16,17,3,-18.7975716920
12,16,18,1,-24.4521159537
12,16,18,2,8.2774210082
12,16,18,3,-23.7571236037
12,16,19,1,19.2071584246
12,16,19,2,-22.1600462175
12,16,19,3,-30.6191700673
12,16,20,1,-19.4943435963
12,16,20,2,-19.9053374961
12,16,20,3,-29.4633690237
12,16,21,1,-23.7421643464
12,16,21,2,-15.7315712366
12,16,21,3,-24.3738515213
12,16,22,1,-15.6643114380
12,16,22,2,-29.3315771235
12,16,22,3,-28.4194625320
12,16,23,1,-24.6991931301
12,16,23,2,-18.8467911359
12,16,23,3,-26.6275290806
12,16,24,1,-17.2860544955
12,16,24,2,-19.4333566668
12,16,24,3,-24.9301683642
12,16,25,1,-39.7481142403
12,16,25,2,-13.8933749914
12,16,25,3,-30.1067830936
12,16,26,1,-15.3003481866
12,16,26,2,-19.4642155314
12,16,26,3,-27.6421210928
12,16,27,1,-15.3816111951
12,16,27,2,-15.0554843482
12,16,27,3,-30.7932168267
12,16,28,1,-25.1635930963
12,16,28,2,-40.8235651842
12,16,28,3,-24.9473103525
12,16,29,1,-26.9793689795
12,16,29,2,-26.0126888654
12,16,29,3,-19.7080973767
12,16,30,1,-35.5577457294
12,16,30,2,-18.1595605678
12,16,30,3,-26.2273875328
12,16,31,1,-32.3990958510
12,16,31,2,-14.2990276997
12,16,31,3,-25.9956879855
12,16,32,1,-21.0421554777
12,16,32,2,-20.7775984123
12,16,32,3,-25.4460724355
12,16,33,1,-22.2528651115
12,16,33,2,-15.4432845601
12,16,33,3,-18.3990243190
12,16,34,1,-20.4728519572
12,16,34,2,-22.7734041740
12,16,34,3,-41.7778469930
12,16,35,1,-18.9229521610
12,16,35,2,-9.9170070641
12,16,35,3,-17.4595641423
12,16,36,1,-18.5362866340
12,16,36,2,8.1232832437
12,16,36,3,-23.5841220591
12,16,37,1,-6.1072358491
12,16,37,2,-19.4482672124
12,16,37,3,-22.7579731403
12,16,38,1,-22.3118802778
12,16,38,2,-17.4831884869
12,16,38,3,-25.0874572585
12,16,39,1,-21.0951898907
12,16,39,2,-19.7557430283
12,16,39,3,-27.9054142954
12,16,40,1,-25.7989499235
12,16,40,2,-24.0916649914
12,16,40,3,-25.7389488737
12,16,41,1,-28.8736256980
12,16,41,2,-26.3044623089
12,16,41,3,-23.3461811527
12,16,42,1,-37.8557815803
12,16,42,2,-21.7500537070
12,16,42,3,-26.6585929104
12,16,43,1,-29.1049885612
12,16,43,2,-20.9625364392
12,16,43,3,-30.3784744699
12,16,44,1,-26.9113928309
12,16,44,2,-22.4273355018
12,16,44,3,-27.6010385865
12,16,45,1,-26.1087623038
12,16,45,2,-27.1371404701
12,16,45,3,-29.6302077291
12,16,46,1,-20.6675094353
12,16,46,2,-22.3578801627
12,16,46,3,-25.7882752699
12,16,47,1,-11.3087315874
12,16,47,2,-17.4311858013
12,16,47,3,-26.9165277515
12,16,48,1,-10.1299495857
12,16,48,2,-17.4362915239
12,16,48,3,-21.2420997588
12,16,49,1,-18.1468131830
12,16,49,2,-11.0456514278
12,16,49,3,-28.9275012890
12,16,50,1,-22.1254610073
12,16,50,2,-17.2886998746
12,16,50,3,-16.4836896475
12,16,51,1,-22.1600556584
12,16,51,2,-15.8367452037
12,16,51,3,-15.7212243603
12,16,52,1,-21.2949700365
12,16,52,2,-16.4281184697
12,16,52,3,-18.3184101338
12,16,53,1,-24.4928706406
12,16,53,2,-19.3093141173
12,16,53,3,-20.9035181573
12,16,54,1,-17.1345695007
12,16,54,2,-27.1164057783
12,16,54,3,-25.3775641074
12,16,55,1,-23.5606219980
12,16,55,2,-14.1355314068
12,16,55,3,-24.1200483163
12,16,56,1,-29.3495302376
12,16,56,2,-21.2101127491
12,16,56,3,-19.5224556758
12,16,57,1,-34.4032982663
12,16,57,2,-25.4718882078
12,16,57,3,-17.7263760555
12,16,58,1,-39.2307393812
12,16,58,2,-23.1932911634
12,16,58,3,-24.0000893268
12,16,59,1,-35.5689045485
12,16,59,2,-15.5432275743
12,16,59,3,-36.0585393616
12,16,60,1,-29.6059957226
12,16,60,2,-20.7525378146
12,16,60,3,-16.3105565189
12,16,61,1,-29.2682552300
12,16,61,2,-16.2914826386
12,16,61,3,-24.4315043251
12,16,62,1,-18.1961911758
12,16,62,2,-17.9659438628
12,16,62,3,-22.1137463953
12,16,63,1,-18.9678900634
12,16,63,2,-42.9044252584
12,16,63,3,-21.4954233355
12,16,64,1,-24.3277442391
12,16,64,2,-30.9853150862
12,16,64,3,-22.6656601894
12,16,65,1,-19.8613979085
12,16,65,2,-25.4003802768
12,16,65,3,-21.3218686782
12,16,66,1,-19.2500265991
12,16,66,2,-13.6108058928
12,16,66,3,-21.9769927441
12,16,67,1,-20.0571308322
12,16,67,2,-23.1120222369
12,16,67,3,-17.6442254668
12,16,68,1,-15.3633599569
12,16,68,2,-23.9692247876
12,16,68,3,-41.1727608717
12,16,69,1,-15.7126044388
12,16,69,2,-21.0337442352
12,16,69,3,-20.0412155645
12,16,70,1,-16.8381812830
12,16,70,2,-16.5099072710
12,16,70,3,-19.3913317171
12,16,71,1,-17.2989368171
12,16,71,2,-11.2373277600
12,16,71,3,-23.5142327051
12,16,72,1,-19.2973547915
12,16,72,2,-21.2443637764
12,16,72,3,-24.4472773018
12,16,73,1,-16.3321787398
12,16,73,2,-29.0049467165
12,16,73,3,-22.9207518057
12,16,74,1,-18.7645678669
12,16,74,2,-25.1552944305
12,16,74,3,-30.3570794775
12,16,75,1,-21.9581162674
12,16,75,2,-31.4145066600
12,16,75,3,-28.5095000989
12,16,76,1,-19.9145824154
12,16,76,2,-14.0960033755
12,16,76,3,-28.2706949777
12,16,77,1,-20.1361240125
12,16,77,2,-14.8112546505
12,16,77,3,-26.7988559904
12,16,78,1,-15.6708601956
12,16,78,2,-18.1005185100
12,16,78,3,-30.6460195764
12,16,79,1,-15.2222506476
12,16,79,2,-23.5280406548
12,16,79,3,-28.6215916752
12,16,80,1,-9.6735958251
12,16,80,2,-28.9244221263
12,16,80,3,-18.3339337071
12,16,81,1,-18.8640704350
12,16,81,2,-39.7222372075
12,16,81,3,-15.3784436049
12,16,82,1,-30.3835534009
12,16,82,2,-30.1921591927
12,16,82,3,-36.1250266272
12,16,83,1,-33.8513610222
12,16,83,2,-45.8144022660
12,16,83,3,-41.6715355611
12,16,84,1,-30.9206634831
12,16,84,2,-53.3455056251
12,16,84,3,-5.3023198657
12,16,85,1,-22.6156418128
12,16,85,2,-30.2896097145
12,16,85,3,-16.7945556818
12,16,86,1,-17.0534379589
12,16,86,2,-27.8073268143
12,16,86,3,-24.4178843608
12,16,87,1,-16.3365418697
12,16,87,2,-28.0750511170
12,16,87,3,-17.9507272120
12,16,88,1,-16.5380947438
12,16,88,2,-13.8660087997
12,16,88,3,-29.9323517615
12,16,89,1,-19.3608986560
12,16,89,2,-25.2543403634
12,16,89,3,-28.9444293395
12,16,90,1,-20.3229034436
12,16,90,2,-40.5321279785
12,16,90,3,-28.2366805877
12,16,91,1,-21.1006029864
12,16,91,2,-19.0508427416
12,16,91,3,-25.2071238019
12,16,92,1,-30.4468571013
12,16,92,2,-34.1525597522
12,16,92,3,-19.1463388071
12,16,93,1,-23.8895950080
12,16,93,2,-18.7372493037
12,16,93,3,-23.5829216106
12,16,94,1,-19.0026131351
12,16,94,2,-16.9032763335
12,16,94,3,-17.1496391333
12,16,95,1,-15.2408037466
12,16,95,2,-53.0439518710
12,16,95,3,-25.1698293697
12,16,96,1,-23.3922766413
12,16,96,2,-16.2169619902
12,16,96,3,-23.5098543278
12,16,97,1,-16.8327418308
12,16,97,2,-7.8161139548
12,16,97,3,-21.4772954400
12,16,98,1,-22.4492945943
12,16,98,2,-51.5528331356
12,16,98,3,-19.6438894148
12,16,99,1,-21.1331210652
12,16,99,2,-52.3870930403
12,16,99,3,-20.5199080785
12,16,100,1,-18.0559235896
12,16,100,2,-28.9584511900
12,16,100,3,-22.0325122666
12,16,101,1,-22.6316903890
12,16,101,2,-26.2462039119
12,16,101,3,-21.8942125448
12,16,102,1,33.0075296501
12,16,102,2,-20.9922481005
12,16,102,3,-35.6799096302
12,16,103,1,-36.9743925789
12,16,103,2,-28.3714504226
12,16,103,3,-36.2179829897
12,16,104,1,-38.5896679396
12,16,104,2,-18.4966022449
12,16,104,3,-36.3132765817
12,16,105,1,-22.7832087808
12,16,105,2,-18.1294167720
12,16,105,3,-40.2833838391
12,16,106,1,-19.2855914628
12,16,106,2,-26.1748195051
12,16,106,3,-37.6763996605
12,16,107,1,-19.1231998578
12,16,107,2,-22.5659366311
12,16,107,3,-39.3082504455
12,16,108,1,-24.6014090316
12,16,108,2,-19.8337021202
12,16,108,3,-3.4694052197
12,16,109,1,-20.5096970558
12,16,109,2,-25.9326937661
12,16,109,3,-24.0184084507
12,16,110,1,-15.1891067729
12,16,110,2,-28.0958883928
12,16,110,3,-53.4728750303
12,16,111,1,-17.2178044553
12,16,111,2,-28.8712833143
12,16,111,3,-2.3850974942
12,16,112,1,-13.6090050811
12,16,112,2,-52.8547380656
12,16,112,3,-27.9088827950
12,16,113,1,-15.1426749753
12,16,113,2,-30.0179726001
12,16,113,3,-26.0010596929
12,16,114,1,13.7557447452
12,16,114,2,-32.3380538740
12,16,114,3,-30.8339535897
12,16,115,1,-26.1254185121
12,16,115,2,-21.0915308749
12,16,115,3,-25.5571753000
12,16,116,1,-21.2867202489
12,16,116,2,-16.1969371224
12,16,116,3,-31.7795512402
12,16,117,1,-21.0851946455
12,16,117,2,-24.0674125932
12,16,117,3,-31.6940430597
12,16,118,1,-23.6455933563
12,16,118,2,-43.1279429571
12,16,118,3,-30.0858649262
12,16,119,1,-20.7023716093
12,16,119,2,-11.2439875855
12,16,119,3,-27.1215683964
12,16,120,1,-13.6757963714
12,16,120,2,-18.0550012957
12,16,120,3,-28.6820891817
12,16,121,1,-17.8715877875
12,16,121,2,-15.5516428228
12,16,121,3,-52.7669555621
12,16,122,1,-19.7166091148
12,16,122,2,-31.2972399949
12,16,122,3,-24.0325104793
12,16,123,1,-25.2253798491
12,16,123,2,-31.8526614306
12,16,123,3,-22.5124380148
12,16,124,1,-29.6114909144
12,16,124,2,-23.3272026086
12,16,124,3,-26.0758506026
12,16,125,1,-28.4015859744
12,16,125,2,-12.2603617876
12,16,125,3,-24.3210430863
12,16,126,1,-32.3387452278
12,16,126,2,-36.0725637118
12,16,126,3,-27.7400635066
12,16,127,1,-25.9347188353
12,16,127,2,-19.5151636630
12,16,127,3,-19.6385264117
12,16,128,1,-26.3119388275
12,16,128,2,-20.0148806342
12,16,128,3,-22.4303376025
12,16,129,1,-22.7801658919
12,16,129,2,-14.5751299609
12,16,129,3,-1.2106047369
12,16,130,1,-21.7047095648
12,16,130,2,-12.7341442362
12,16,130,3,-45.0118542644
12,16,131,1,-18.7843800477
12,16,131,2,-13.8095130180
12,16,131,3,-36.5067680083
12,16,132,1,-11.2386106674
12,16,132,2,-28.6116073515
12,16,132,3,-33.5929218725
12,16,133,1,-18.2795654600
12,16,133,2,-42.5975577137
12,16,133,3,-24.7904933505
12,16,134,1,-24.7659479733
12,16,134,2,-31.7522440868
12,16,134,3,-6.9341254410
12,16,135,1,-25.8983232060
12,16,135,2,-12.1323140283
12,16,135,3,-23.1111842151
12,16,136,1,-24.0363760702
12,16,136,2,-5.2338358968
12,16,136,3,-6.7293399087
12,16,137,1,-31.6312562818
12,16,137,2,-21.3582222664
12,16,137,3,-32.9768883992
12,16,138,1,14.0479107321
12,16,138,2,-16.3753982455
12,16,138,3,-17.3559704682
12,16,139,1,-24.8594464442
12,16,139,2,-16.4715626040
12,16,139,3,-19.0287321700
12,16,140,1,-19.7518205019
12,16,140,2,-16.6028391442
12,16,140,3,-16.2942353067
12,16,141,1,-13.9836284899
12,16,141,2,-52.4287532679
12,16,141,3,-18.6364637373
12,16,142,1,-23.2781731621
12,16,142,2,-19.2607989373
12,16,142,3,-18.6062359615
12,16,143,1,-21.4125393105
12,16,143,2,-17.9138177154
12,16,143,3,25.5527275227
12,16,144,1,-25.4735108051
12,16,144,2,-16.6310982878
12,16,144,3,-20.3912342420
12,16,145,1,-30.7964711099
12,16,145,2,-20.4585717134
12,16,145,3,-21.2770926123
12,16,146,1,-31.2022752738
12,16,146,2,-28.4868363044
12,16,146,3,-24.1098833432
12,16,147,1,-32.8631585410
12,16,147,2,-28.1590491554
12,16,147,3,-27.0964958434
12,16,148,1,-35.2011895459
12,16,148,2,-39.8573728880
12,16,148,3,-28.6094436794
12,16,149,1,-34.6530742709
12,16,149,2,-19.0830659186
12,16,149,3,-31.6690005457
12,16,150,1,-27.6023121573
12,16,150,2,-17.3006995152
12,16,150,3,-27.3487946029
12,16,151,1,-29.8019110426
12,16,151,2,-30.6503465293
12,16,151,3,-29.1793536777
12,16,152,1,-17.0198537437
12,16,152,2,-26.4783217486
12,16,152,3,-22.1355469377
12,16,153,1,-23.9665773485
12,16,153,2,-36.2266947037
12,16,153,3,-21.1299359102
12,16,154,1,-23.8258573176
12,16,154,2,-45.3049054291
12,16,154,3,-22.9609652580
12,16,155,1,-18.2955149372
12,16,155,2,-35.9698315745
12,16,155,3,-25.8935637322
12,16,156,1,-20.7486066689
12,16,156,2,-26.8034530423
12,16,156,3,-17.8674763070
12,16,157,1,-11.7984734015
12,16,157,2,-24.0564972909
12,16,157,3,-24.1139657459
12,16,158,1,-23.3499588416
12,16,158,2,-18.2674279472
12,16,158,3,-18.4146312718
12,16,159,1,-25.3087714343
12,16,159,2,-22.2700647370
12,16,159,3,-16.8684241091
12,16,160,1,-29.4826483011
12,16,160,2,-22.4305455558
12,16,160,3,-18.5525039718
12,16,161,1,-25.4912581829
12,16,161,2,-18.0729011829
12,16,161,3,-21.8656961904
12,16,162,1,-30.1368944718
12,16,162,2,-24.2039017743
12,16,162,3,-20.8018682784
12,16,163,1,-27.2562382360
12,16,163,2,-23.2006927451
12,16,163,3,-20.5394138099
12,16,164,1,-38.0912833863
12,16,164,2,-19.7470846463
12,16,164,3,-20.2829388529
12,16,165,1,-28.0022025659
