i,j,h,s,f_mw
1,2,59,1,-13.9540044102
1,2,59,2,-10.5163510137
1,2,59,3,-14.2895124146
1,2,60,1,-12.9483575512
1,2,60,2,-11.3966178258
1,2,60,3,-10.6255245736
1,2,61,1,-12.8668836850
1,2,61,2,-10.6463676526
1,2,61,3,-12.1037972331
1,2,62,1,-10.9425403086
1,2,62,2,-10.9407379984
1,2,62,3,-11.7310033016
1,2,63,1,-11.2892616924
1,2,63,2,-15.4409859773
1,2,63,3,-11.5336454340
1,2,64,1,-12.3614621096
1,2,64,2,-13.4884089196
1,2,64,3,-11.8949540496
1,2,65,1,-11.4943511452
1,2,65,2,-12.2339242779
1,2,65,3,-11.6547143577
1,2,66,1,-11.3716387287
1,2,66,2,-11.5528424523
1,2,66,3,-11.7776402241
1,2,67,1,-11.5087491448
1,2,67,2,-12.5901497848
1,2,67,3,-11.0217817886
1,2,68,1,-10.5458719827
1,2,68,2,-12.0870920245
1,2,68,3,-15.1432369788
1,2,69,1,-10.6517606385
1,2,69,2,-11.7727188733
1,2,69,3,-11.0424703443
1,2,70,1,-10.7168513523
1,2,70,2,-10.7076825086
1,2,70,3,-11.2018086871
1,2,71,1,-10.8811687121
1,2,71,2,-10.3396884167
1,2,71,3,-12.0098591410
1,2,72,1,-11.1250355474
1,2,72,2,-11.5168410111
1,2,72,3,-12.4458419159
1,2,73,1,-10.6188500311
1,2,73,2,-12.8170120918
1,2,73,3,-12.0341609106
1,2,74,1,-11.2553053172
1,2,74,2,-12.1749434171
1,2,74,3,-13.4417429230
1,2,75,1,-11.8578730623
1,2,75,2,-13.2239582657
1,2,75,3,-13.0850042037
1,2,76,1,-11.5155674247
1,2,76,2,-10.3104508541
1,2,76,3,-12.9653356715
1,2,77,1,-11.3166852146
1,2,77,2,-10.4757520233
1,2,77,3,-12.5839388940
1,2,78,1,-10.7164663419
1,2,78,2,-10.9452307381
1,2,78,3,-13.3851009604
1,2,79,1,-10.2395402861
1,2,79,2,-12.0681720074
1,2,79,3,-13.1182749020
1,2,80,1,-9.4020293732
1,2,80,2,-13.1861823961
1,2,80,3,-11.2158452890
1,2,81,1,-11.0872717931
1,2,81,2,-14.5848660345
1,2,81,3,-11.3708509477
1,2,82,1,-13.0832197548
1,2,82,2,-13.1906953293
1,2,82,3,-14.8359163839
1,2,83,1,-13.6726760718
1,2,83,2,-15.7035326083
1,2,83,3,-15.3842700243
1,2,84,1,-13.1550051051
1,2,84,2,-15.3721178727
1,2,84,3,-9.5869874560
1,2,85,1,-11.7062166443
1,2,85,2,-13.0825320880
1,2,85,3,-10.6813638181
1,2,86,1,-10.8403154452
1,2,86,2,-12.6382033400
1,2,86,3,-11.6037953477
1,2,87,1,-10.6958199702
1,2,87,2,-12.6753114115
1,2,87,3,-10.8986105593
1,2,88,1,-10.6999795917
1,2,88,2,-10.3291322858
1,2,88,3,-13.2809329085
1,2,89,1,-11.4345734504
1,2,89,2,-12.1880516290
1,2,89,3,-13.0446023012
1,2,90,1,-11.5767723894
1,2,90,2,-13.7883961229
1,2,90,3,-12.9742085584
1,2,91,1,-11.6344226649
1,2,91,2,-11.0801307831
1,2,91,3,-12.2094828633
1,2,92,1,-13.1556009245
1,2,92,2,-14.0853797519
1,2,92,3,-11.1180350705
1,2,93,1,-12.2160217708
1,2,93,2,-11.2091595074
1,2,93,3,-11.8945285004
1,2,94,1,-11.2833218125
1,2,94,2,-10.8622758022
1,2,94,3,-10.7774960651
1,2,95,1,-10.4520562340
1,2,95,2,-15.6885325954
1,2,95,3,-12.1668213964
1,2,96,1,-11.8510572691
1,2,96,2,-10.5250341008
1,2,96,3,-11.8711333417
1,2,97,1,-10.8911775952
1,2,97,2,-9.4756019181
1,2,97,3,-11.8219351830
1,2,98,1,-11.9650712493
1,2,98,2,-15.4399379768
1,2,98,3,-11.4006661519
1,2,99,1,-11.6498332031
1,2,99,2,-15.5444078809
1,2,99,3,-11.6150296105
1,2,100,1,-11.0551239276
1,2,100,2,-13.1479363190
1,2,100,3,-11.6244231369
1,2,101,1,-11.8921057356
1,2,101,2,-12.6565043983
1,2,101,3,-11.6088158620
1,2,102,1,-15.2536610289
1,2,102,2,-11.7265857057
1,2,102,3,-14.0339391273
1,2,103,1,-14.6126274533
1,2,103,2,-13.1925462458
1,2,103,3,-14.1168578146
1,2,104,1,-14.9212319377
1,2,104,2,-11.1302105827
1,2,104,3,-14.1159701906
1,2,105,1,-11.9915120495
1,2,105,2,-11.2017503600
1,2,105,3,-14.7786611563
1,2,106,1,-11.3617370960
1,2,106,2,-12.8085635932
1,2,106,3,-14.3836222772
1,2,107,1,-11.1311231319
