,Scenario_1,Scenario_2,Scenario_3,Scenario_4
132,0.545942,0.204297,0.222929,0.946551
133,0.424296,0.16836,0.172718,0.924011
134,0.29801,0.16044,0.148455,0.900964
135,0.280686,0.197399,0.152911,0.847459
136,0.28807,0.220562,0.227386,0.756997
137,0.299241,0.301464,0.372671,0.694963
138,0.373649,0.437548,0.511718,0.668565
139,0.446353,0.53761,0.591837,0.782582
140,0.642313,0.595178,0.677899,0.824513
141,0.772006,0.662198,0.759505,0.876496
142,0.847834,0.721894,0.847449,0.908274
143,0.850201,0.74642,0.834574,0.937718
144,0.854271,0.823187,0.765348,0.942693
145,0.853798,0.770041,0.693349,0.932134
146,0.82199,0.762241,0.682752,0.939241
147,0.783839,0.732912,0.703748,0.943302
148,0.764906,0.719495,0.789909,0.943403
149,0.751747,0.651061,0.731181,0.923199
150,0.733382,0.635669,0.561434,0.903604
151,0.595074,0.520745,0.395153,0.889288
152,0.480906,0.442014,0.310477,0.862079
153,0.402333,0.335723,0.279776,0.911422
154,0.331144,0.2364,0.20748,0.867358
155,0.242914,0.206863,0.170738,0.782582
156,0.209781,0.176286,0.137065,0.714355
157,0.135941,0.154029,0.107949,0.617801
158,0.102429,0.165469,0.089627,0.521654
159,0.098169,0.203431,0.100422,0.46094
160,0.122877,0.30161,0.153802,0.457995
161,0.127705,0.449503,0.269872,0.444695
162,0.050931,0.568898,0.466953,0.484697
163,0.069675,0.625788,0.564207,0.572723
164,0.185168,0.638477,0.640761,0.620542
165,0.311926,0.666142,0.705927,0.613639
166,0.496053,0.736656,0.770003,0.664707
167,0.588826,0.775553,0.74257,0.749484
