,Scenario_1,Scenario_2,Scenario_3,Scenario_4
0,0.900374,0.25684,0.827443,0.829488
1,0.903308,0.274894,0.805061,0.757098
2,0.898859,0.188713,0.801892,0.732833
3,0.885416,0.167508,0.789018,0.68877
4,0.847834,0.145196,0.770003,0.704811
5,0.828049,0.167508,0.771884,0.664707
6,0.819055,0.251305,0.765249,0.65293
7,0.851999,0.172958,0.759505,0.540741
8,0.860803,0.135488,0.71375,0.441751
9,0.869134,0.065487,0.65215,0.484697
10,0.850674,0.058334,0.605306,0.487642
11,0.781662,0.052458,0.544597,0.468351
12,0.662761,0.017117,0.487256,0.413932
13,0.541966,0.014988,0.416544,0.329054
14,0.509685,0.021716,0.364352,0.245902
15,0.563077,0.029721,0.338306,0.249557
16,0.606339,0.03185,0.343753,0.441751
17,0.623379,0.055609,0.388121,0.626025
18,0.634077,0.090184,0.417931,0.723695
19,0.705834,0.098785,0.495872,0.708466
20,0.816783,0.098103,0.660964,0.581251
21,0.866767,0.080135,0.809122,0.591201
22,0.898291,0.074685,0.867553,0.6775
23,0.895167,0.087033,0.858046,0.779638
24,0.894599,0.131486,0.845468,0.806238
25,0.890055,0.251305,0.814569,0.76451
26,0.87718,0.331354,0.789018,0.735067
27,0.90132,0.359457,0.768121,0.696181
28,0.891191,0.381683,0.768121,0.659529
29,0.892895,0.437548,0.770003,0.610897
30,0.904255,0.512403,0.74564,0.635569
31,0.906906,0.504228,0.842794,0.588358
32,0.905202,0.485152,0.795059,0.609476
33,0.907852,0.435078,0.680375,0.509876
34,0.907379,0.493583,0.561434,0.457995
35,0.88731,0.527391,0.438134,0.416775
36,0.86317,0.504228,0.35326,0.408043
37,0.825966,0.506527,0.273438,0.38926
38,0.799081,0.485152,0.221741,0.35799
39,0.803814,0.512403,0.183513,0.346822
40,0.747487,0.535396,0.169846,0.39789
41,0.786017,0.503035,0.292254,0.468351
42,0.796525,0.60991,0.518947,0.585515
43,0.767178,0.681529,0.614616,0.731818
44,0.847834,0.729814,0.665817,0.745118
45,0.897534,0.77282,0.660865,0.696181
46,0.922052,0.790703,0.711572,0.671104
47,0.92139,0.800411,0.723555,0.704811
48,0.91978,0.784146,0.725833,0.696181
49,0.913722,0.762686,0.685129,0.693846
50,0.90719,0.760557,0.67681,0.757098
51,0.909272,0.748379,0.711572,0.793344
52,0.898859,0.727515,0.758515,0.795172
53,0.909178,0.724109,0.707016,0.753849
54,0.909746,0.729899,0.699093,0.719127
55,0.917414,0.747442,0.692161,0.584195
56,0.914952,0.74642,0.665817,0.628766
57,0.915331,0.745909,0.480026,0.628766
58,0.908326,0.723001,0.368512,0.596886
59,0.879642,0.70895,0.268585,0.552417
60,0.825871,0.624047,0.180641,0.548051
61,0.772006,0.575676,0.123597,0.53932
62,0.72969,0.560773,0.064076,0.505409
63,0.714638,0.608888,0.067146,0.477286
64,0.673647,0.641164,0.112505,0.441751
65,0.729785,0.688001,0.282252,0.452107
66,0.808169,0.700434,0.541725,0.591201
67,0.766421,0.741396,0.667006,0.709583
68,0.828049,0.784486,0.711473,0.73395
69,0.84594,0.806713,0.719197,0.741869
70,0.875855,0.804499,0.792484,0.761261
71,0.869891,0.793939,0.839526,0.798014
72,0.88731,0.777929,0.840813,0.771617
73,0.885795,0.754936,0.79595,0.744103
74,0.902835,0.707077,0.733161,0.72136
75,0.893463,0.706396,0.654626,0.7107
76,0.902362,0.665349,0.579458,0.731716
77,0.911166,0.713379,0.548757,0.741768
78,0.922336,0.670799,0.508846,0.771617
79,0.931519,0.683658,0.400798,0.79507
80,0.928679,0.613827,0.378217,0.824513
81,0.922052,0.601139,0.326224,0.761261
82,0.913532,0.622258,0.267297,0.729483
83,0.904255,0.64721,0.217383,0.668565
84,0.867903,0.587087,0.17559,0.610897
85,0.814322,0.570481,0.157566,0.575565
86,0.710757,0.533096,0.16123,0.542264
87,0.708769,0.560773,0.184504,0.526121
88,0.767178,0.575676,0.237587,0.545107
89,0.823694,0.622258,0.390993,0.54663
90,0.759226,0.635032,0.541725,0.628766
91,0.734234,0.643718,0.65215,0.725929
92,0.835527,0.674716,0.625212,0.715472
93,0.888635,0.735179,0.685129,0.682576
94,0.916751,0.767625,0.818431,0.725929
95,0.908704,0.770435,0.865275,0.793243
96,0.900847,0.756639,0.869237,0.840656
97,0.901888,0.740459,0.845468,0.855581
98,0.896303,0.715337,0.794266,0.864008
99,0.898291,0.705118,0.715929,0.862586
100,0.897818,0.654789,0.631749,0.862079
101,0.904255,0.638524,0.610654,0.933758
102,0.911166,0.616553,0.555789,0.950003
103,0.921768,0.645507,0.516075,0.959445
104,0.913343,0.685106,0.573912,0.939342
105,0.902362,0.614679,0.426646,0.912335
106,0.886363,0.595178,0.322262,0.928783
107,0.855218,0.518194,0.237686,0.911422
108,0.783839,0.428947,0.168856,0.895583
109,0.650359,0.415236,0.122012,0.847459
110,0.568283,0.361841,0.088241,0.805324
111,0.59763,0.379214,0.088934,0.745118
112,0.682262,0.403995,0.113297,0.785526
113,0.752505,0.465821,0.275914,0.760144
114,0.745783,0.527391,0.53608,0.766439
115,0.749286,0.572525,0.625212,0.846037
116,0.848781,0.645507,0.605306,0.886953
117,0.892611,0.708354,0.564207,0.909391
118,0.916372,0.723512,0.674334,0.932946
119,0.916278,0.715252,0.74049,0.95579
120,0.914668,0.699157,0.787235,0.949596
121,0.911639,0.691578,0.796742,0.934976
122,0.913532,0.67395,0.711473,0.948987
123,0.911166,0.635032,0.717019,0.959749
124,0.922715,0.582915,0.71375,0.976298
125,0.904728,0.54323,0.754652,0.979141
126,0.903024,0.504228,0.645812,0.97975
127,0.886458,0.525092,0.544597,0.970308
128,0.830889,0.493583,0.526078,0.984319
129,0.808169,0.421453,0.44675,0.998533
130,0.790182,0.376744,0.357519,0.985538
131,0.700911,0.303848,0.273537,0.969293
