,Scenario_1,Scenario_2,Scenario_3,Scenario_4
0,0.918026,0.768335,0.834089,0.917525
1,0.919847,0.74289,0.824324,0.929466
2,0.925512,0.704675,0.809276,0.945924
3,0.926322,0.661947,0.797417,0.950641
4,0.903558,0.621235,0.791339,0.953953
5,0.927131,0.589453,0.801702,0.948032
6,0.914788,0.607409,0.794826,0.934886
7,0.877153,0.682207,0.764233,0.946828
8,0.812201,0.64668,0.76224,0.973822
9,0.830715,0.544325,0.780477,0.960475
10,0.83456,0.405291,0.721482,0.942813
11,0.757467,0.318875,0.577585,0.912407
12,0.612894,0.208551,0.480125,0.877986
13,0.456382,0.183874,0.452421,0.84497
14,0.358145,0.168415,0.449531,0.803022
15,0.365227,0.213928,0.387747,0.74833
16,0.459316,0.261649,0.387647,0.678384
17,0.612894,0.330589,0.452421,0.577429
18,0.662367,0.426127,0.552173,0.571709
19,0.691403,0.487771,0.672453,0.704978
20,0.762728,0.568521,0.743007,0.735384
21,0.817462,0.661947,0.784961,0.755656
22,0.925917,0.729735,0.823526,0.81657
23,0.957179,0.758253,0.822031,0.878989
24,0.957887,0.74289,0.827413,0.891132
25,0.941801,0.704675,0.810073,0.880695
26,0.925006,0.684415,0.788648,0.889627
27,0.90457,0.619987,0.778583,0.895246
28,0.851253,0.589453,0.764233,0.905583
29,0.806029,0.5618,0.784961,0.900766
30,0.774869,0.614994,0.797517,0.89625
31,0.677745,0.619987,0.88541,0.91331
32,0.607329,0.580332,0.889994,0.926857
33,0.599033,0.490555,0.829605,0.906586
34,0.563522,0.41086,0.744103,0.884107
35,0.375041,0.351905,0.621133,0.847779
36,0.207603,0.220361,0.509123,0.780242
37,0.117358,0.220457,0.47574,0.710798
38,0.096719,0.228138,0.430697,0.609241
39,0.13223,0.265105,0.413457,0.558964
40,0.205478,0.272403,0.429302,0.546019
41,0.355313,0.333278,0.530748,0.471758
42,0.472671,0.45138,0.598213,0.522938
43,0.642739,0.585613,0.669962,0.574519
44,0.732478,0.629781,0.735733,0.599708
45,0.759592,0.736361,0.797417,0.571709
46,0.80694,0.796468,0.870562,0.621484
47,0.797025,0.806454,0.877936,0.72545
48,0.754331,0.774096,0.870562,0.788772
49,0.680173,0.731752,0.863387,0.812556
50,0.648,0.706787,0.849536,0.828612
51,0.718921,0.64668,0.836979,0.819982
52,0.742494,0.621235,0.838474,0.810749
53,0.716594,0.682303,0.85412,0.815767
54,0.691301,0.651385,0.824324,0.827107
55,0.666211,0.66886,0.784961,0.856008
56,0.648,0.64908,0.805091,0.89063
57,0.608746,0.544325,0.743107,0.870058
58,0.53742,0.484986,0.618442,0.823895
59,0.400839,0.433136,0.525068,0.738696
60,0.245137,0.33587,0.387747,0.6545
61,0.160963,0.32406,0.27514,0.578734
62,0.11574,0.321468,0.202394,0.584354
63,0.124643,0.395497,0.1718,0.522938
64,0.174419,0.448499,0.220829,0.505476
65,0.400839,0.544325,0.394822,0.486409
66,0.522751,0.64908,0.573399,0.64015
67,0.573538,0.738281,0.662488,0.730969
68,0.688974,0.762477,0.746097,0.761677
69,0.739256,0.799348,0.82811,0.766795
70,0.779927,0.831898,0.905241,0.803022
71,0.74472,0.833819,0.906138,0.852596
72,0.774869,0.796468,0.894977,0.849184
73,0.84154,0.7547,0.883417,0.814964
74,0.873409,0.723014,0.866576,0.827107
75,0.86228,0.680094,0.841862,0.860625
76,0.800667,0.628629,0.823526,0.855507
77,0.798846,0.595887,0.821234,0.837644
78,0.798947,0.568521,0.80519,0.847077
79,0.746946,0.525217,0.754268,0.805631
80,0.680173,0.537508,0.750382,0.885713
81,0.724587,0.480761,0.701153,0.827006
82,0.802488,0.455605,0.617146,0.768601
83,0.776892,0.413645,0.503344,0.69424
84,0.714166,0.283349,0.365226,0.568899
85,0.681387,0.240621,0.26657,0.462927
86,0.654576,0.223722,0.218637,0.393282
87,0.686445,0.276051,0.201298,0.380537
88,0.719933,0.316379,0.223121,0.403317
89,0.792371,0.420558,0.325664,0.486409
90,0.734805,0.568521,0.46996,0.645368
91,0.72226,0.701506,0.560743,0.728761
92,0.840731,0.692,0.618442,0.788772
93,0.916609,0.7089,0.697666,0.80824
94,0.972051,0.706787,0.809276,0.840654
95,0.972253,0.703715,0.818245,0.864538
96,0.964362,0.686527,0.783267,0.852095
97,0.959,0.671068,0.700057,0.80824
98,0.950906,0.632277,0.673649,0.804728
99,0.946252,0.586861,0.649832,0.839149
100,0.933201,0.532035,0.618442,0.844367
101,0.904064,0.468183,0.716002,0.804828
102,0.880289,0.430352,0.700057,0.755656
103,0.858942,0.292086,0.718293,0.704978
104,0.856109,0.292086,0.649832,0.716418
105,0.90457,0.247534,0.483015,0.663331
106,0.913979,0.208551,0.365226,0.577329
107,0.872903,0.20231,0.269061,0.490825
108,0.7689,0.151804,0.216445,0.419173
109,0.688974,0.166495,0.17479,0.393282
110,0.659837,0.165535,0.132737,0.325243
111,0.681387,0.222569,0.114002,0.288514
112,0.681387,0.302264,0.131043,0.333271
113,0.724587,0.413645,0.264178,0.473263
114,0.682702,0.497564,0.536528,0.657009
115,0.672585,0.594638,0.676141,0.769605
116,0.80785,0.609905,0.743107,0.810749
117,0.881402,0.674525,0.772903,0.792485
118,0.942813,0.762477,0.831797,0.785862
119,0.953739,0.833819,0.839072,0.825602
120,0.948276,0.813943,0.831997,0.819982
121,0.935933,0.758157,0.822031,0.757562
122,0.921162,0.697281,0.774796,0.723342
123,0.913878,0.658394,0.805091,0.680793
124,0.891822,0.594638,0.846147,0.683402
125,0.900422,0.584268,0.828907,0.715314
126,0.908212,0.552487,0.76224,0.756559
127,0.926726,0.537508,0.725967,0.731069
128,0.880795,0.480761,0.79393,0.764788
129,0.840731,0.38868,0.671158,0.67718
130,0.824847,0.284597,0.557853,0.546019
131,0.721147,0.228138,0.46986,0.455601
132,0.553405,0.158141,0.410468,0.393282
133,0.390722,0.154493,0.390537,0.377727
134,0.288337,0.14998,0.336426,0.342905
135,0.284392,0.206438,0.277731,0.345514
136,0.351165,0.30985,0.268961,0.457106
