,Scenario_1,Scenario_2,Scenario_3,Scenario_4
137,0.490376,0.487771,0.27524,0.609241
138,0.642638,0.666556,0.382067,0.743011
139,0.734704,0.726759,0.394822,0.788772
140,0.851152,0.680094,0.488794,0.83092
141,0.881402,0.65609,0.574695,0.81085
142,0.923286,0.638326,0.687003,0.825401
143,0.92794,0.661947,0.751278,0.846375
144,0.926322,0.736702,0.770113,0.823895
145,0.914788,0.643069,0.725967,0.773619
146,0.895161,0.691964,0.701153,0.790578
147,0.85186,0.691964,0.785061,0.784156
148,0.7689,0.671509,0.691786,0.818376
149,0.724587,0.744906,0.626414,0.863836
150,0.796924,0.827928,0.64475,0.904579
151,0.84154,0.801567,0.684611,0.92756
152,0.7689,0.768423,0.735633,0.924449
153,0.721147,0.759344,0.652423,0.860625
154,0.675215,0.549327,0.516398,0.804728
155,0.508081,0.391814,0.512013,0.750337
156,0.305132,0.289977,0.509123,0.70839
157,0.192731,0.246224,0.47863,0.663432
158,0.159041,0.195141,0.483015,0.621484
159,0.217518,0.223362,0.496069,0.571709
160,0.296026,0.281992,0.506234,0.587164
161,0.403672,0.47593,0.536528,0.592783
162,0.341553,0.576345,0.573299,0.649282
163,0.393656,0.587283,0.632991,0.713106
164,0.497761,0.595159,0.703445,0.74833
165,0.522751,0.613864,0.750282,0.752444
166,0.550471,0.573173,0.797417,0.819982
167,0.530136,0.555671,0.778583,0.884609
